,Disease,Symptom
3983,Typhoid, chills fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain
3984,hepatitis A, joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3985,hepatitis A, joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3986,hepatitis A, vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3987,hepatitis A, joint_pain yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3988,hepatitis A, joint_pain vomiting dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3989,hepatitis A, joint_pain vomiting yellowish_skin nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3990,hepatitis A, joint_pain vomiting yellowish_skin dark_urine loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3991,hepatitis A, joint_pain vomiting yellowish_skin dark_urine nausea abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
3992,hepatitis A, joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite diarrhoea mild_fever yellowing_of_eyes muscle_pain
3993,hepatitis A, joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain mild_fever yellowing_of_eyes muscle_pain
3994,Hepatitis B,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
3995,Hepatitis B,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
3996,Hepatitis B, fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
3997,Hepatitis B,itching lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
3998,Hepatitis B,itching fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
3999,Hepatitis B,itching fatigue lethargy dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
4000,Hepatitis B,itching fatigue lethargy yellowish_skin loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
4001,Hepatitis B,itching fatigue lethargy yellowish_skin dark_urine abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
4002,Hepatitis B,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
4003,Hepatitis B,itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections
4004,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite family_history
4005,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
4006,Hepatitis C, yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
4007,Hepatitis C, fatigue nausea loss_of_appetite yellowing_of_eyes family_history
4008,Hepatitis C, fatigue yellowish_skin loss_of_appetite yellowing_of_eyes family_history
4009,Hepatitis C, fatigue yellowish_skin nausea yellowing_of_eyes family_history
4010,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite family_history
4011,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes
4012,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
4013,Hepatitis C, fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history
4014,Hepatitis D, joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4015,Hepatitis D, vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4016,Hepatitis D, joint_pain fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4017,Hepatitis D, joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4018,Hepatitis D, joint_pain vomiting fatigue dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4019,Hepatitis D, joint_pain vomiting fatigue yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4020,Hepatitis D, joint_pain vomiting fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes
4021,Hepatitis D, joint_pain vomiting fatigue yellowish_skin dark_urine nausea abdominal_pain yellowing_of_eyes
4022,Hepatitis D, joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite yellowing_of_eyes
4023,Hepatitis D, joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain
4024,Hepatitis E, joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes coma stomach_bleeding
4025,Hepatitis E, joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4026,Hepatitis E, joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4027,Hepatitis E, vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4028,Hepatitis E, joint_pain fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4029,Hepatitis E, joint_pain vomiting high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4030,Hepatitis E, joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4031,Hepatitis E, joint_pain vomiting fatigue high_fever dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4032,Hepatitis E, joint_pain vomiting fatigue high_fever yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4033,Hepatitis E, joint_pain vomiting fatigue high_fever yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding
4034,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4035,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4036,Alcoholic hepatitis, yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4037,Alcoholic hepatitis, vomiting abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4038,Alcoholic hepatitis, vomiting yellowish_skin swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4039,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain distention_of_abdomen history_of_alcohol_consumption fluid_overload
4040,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach history_of_alcohol_consumption fluid_overload
4041,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen fluid_overload
4042,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption
4043,Alcoholic hepatitis, vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload
4044,Tuberculosis, chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4045,Tuberculosis, chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4046,Tuberculosis, vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4047,Tuberculosis, chills fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4048,Tuberculosis, chills vomiting weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4049,Tuberculosis, chills vomiting fatigue cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4050,Tuberculosis, chills vomiting fatigue weight_loss high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4051,Tuberculosis, chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4052,Tuberculosis, chills vomiting fatigue weight_loss cough high_fever sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4053,Tuberculosis, chills vomiting fatigue weight_loss cough high_fever breathlessness loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum
4054,Common Cold, continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4055,Common Cold, continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4056,Common Cold, chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4057,Common Cold, continuous_sneezing fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4058,Common Cold, continuous_sneezing chills cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4059,Common Cold, continuous_sneezing chills fatigue high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4060,Common Cold, continuous_sneezing chills fatigue cough headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4061,Common Cold, continuous_sneezing chills fatigue cough high_fever swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4062,Common Cold, continuous_sneezing chills fatigue cough high_fever headache malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4063,Common Cold, continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain
4064,Pneumonia, chills fatigue cough high_fever breathlessness sweating malaise chest_pain fast_heart_rate rusty_sputum
4065,Pneumonia, chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4066,Pneumonia, chills fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4067,Pneumonia, fatigue cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4068,Pneumonia, chills cough high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4069,Pneumonia, chills fatigue high_fever breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4070,Pneumonia, chills fatigue cough breathlessness sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4071,Pneumonia, chills fatigue cough high_fever sweating malaise phlegm chest_pain fast_heart_rate rusty_sputum
4072,Pneumonia, chills fatigue cough high_fever breathlessness malaise phlegm chest_pain fast_heart_rate rusty_sputum
4073,Pneumonia, chills fatigue cough high_fever breathlessness sweating phlegm chest_pain fast_heart_rate rusty_sputum
4074,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4075,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4076,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4077,Dimorphic hemmorhoids(piles), pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4078,Dimorphic hemmorhoids(piles), constipation pain_in_anal_region bloody_stool irritation_in_anus
4079,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements bloody_stool irritation_in_anus
4080,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region irritation_in_anus
4081,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool
4082,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4083,Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements pain_in_anal_region bloody_stool irritation_in_anus
4084,Heart attack, vomiting breathlessness sweating chest_pain
4085,Heart attack, vomiting breathlessness sweating chest_pain
4086,Heart attack, breathlessness sweating chest_pain
4087,Heart attack, vomiting sweating chest_pain
4088,Heart attack, vomiting breathlessness chest_pain
4089,Heart attack, vomiting breathlessness sweating
4090,Heart attack, vomiting breathlessness sweating chest_pain
4091,Heart attack, breathlessness sweating chest_pain
4092,Heart attack, vomiting sweating chest_pain
4093,Heart attack, vomiting breathlessness chest_pain
4094,Varicose veins, fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf
4095,Varicose veins, fatigue cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf
4096,Varicose veins, cramps bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf
4097,Varicose veins, fatigue bruising obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf
4098,Varicose veins, fatigue cramps obesity swollen_legs swollen_blood_vessels prominent_veins_on_calf
4099,Varicose veins, fatigue cramps bruising swollen_legs swollen_blood_vessels prominent_veins_on_calf
4100,Varicose veins, fatigue cramps bruising obesity swollen_blood_vessels prominent_veins_on_calf
4101,Varicose veins, fatigue cramps bruising obesity swollen_legs prominent_veins_on_calf
4102,Varicose veins, fatigue cramps bruising obesity swollen_legs swollen_blood_vessels
4103,Varicose veins, fatigue cramps bruising obesity swollen_legs prominent_veins_on_calf
4104,Hypothyroidism, fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4105,Hypothyroidism, fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4106,Hypothyroidism, weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4107,Hypothyroidism, weight_gain cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4108,Hypothyroidism, fatigue cold_hands_and_feets mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4109,Hypothyroidism, fatigue weight_gain mood_swings lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4110,Hypothyroidism, fatigue weight_gain cold_hands_and_feets lethargy dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4111,Hypothyroidism, fatigue weight_gain cold_hands_and_feets mood_swings dizziness puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4112,Hypothyroidism, fatigue weight_gain cold_hands_and_feets mood_swings lethargy puffy_face_and_eyes enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4113,Hypothyroidism, fatigue weight_gain cold_hands_and_feets mood_swings lethargy dizziness enlarged_thyroid brittle_nails swollen_extremeties depression irritability abnormal_menstruation
4114,Hyperthyroidism, fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4115,Hyperthyroidism, fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4116,Hyperthyroidism, mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4117,Hyperthyroidism, fatigue weight_loss restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4118,Hyperthyroidism, fatigue mood_swings restlessness sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4119,Hyperthyroidism, fatigue mood_swings weight_loss sweating diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4120,Hyperthyroidism, fatigue mood_swings weight_loss restlessness diarrhoea fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4121,Hyperthyroidism, fatigue mood_swings weight_loss restlessness sweating fast_heart_rate excessive_hunger muscle_weakness irritability abnormal_menstruation
4122,Hyperthyroidism, fatigue mood_swings weight_loss restlessness sweating diarrhoea excessive_hunger muscle_weakness irritability abnormal_menstruation
4123,Hyperthyroidism, fatigue mood_swings weight_loss restlessness sweating diarrhoea fast_heart_rate muscle_weakness irritability abnormal_menstruation
4124,Hypoglycemia, vomiting fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger slurred_speech irritability palpitations
4125,Hypoglycemia, vomiting fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4126,Hypoglycemia, vomiting fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4127,Hypoglycemia, fatigue anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4128,Hypoglycemia, vomiting anxiety sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4129,Hypoglycemia, vomiting fatigue sweating headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4130,Hypoglycemia, vomiting fatigue anxiety headache nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4131,Hypoglycemia, vomiting fatigue anxiety sweating nausea blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4132,Hypoglycemia, vomiting fatigue anxiety sweating headache blurred_and_distorted_vision excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4133,Hypoglycemia, vomiting fatigue anxiety sweating headache nausea excessive_hunger drying_and_tingling_lips slurred_speech irritability palpitations
4134,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking
4135,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking
4136,Osteoarthristis, neck_pain knee_pain hip_joint_pain swelling_joints painful_walking
4137,Osteoarthristis, joint_pain knee_pain hip_joint_pain swelling_joints painful_walking
4138,Osteoarthristis, joint_pain neck_pain hip_joint_pain swelling_joints painful_walking
4139,Osteoarthristis, joint_pain neck_pain knee_pain swelling_joints painful_walking
4140,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain painful_walking
4141,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain swelling_joints
4142,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking
4143,Osteoarthristis, joint_pain neck_pain knee_pain hip_joint_pain swelling_joints painful_walking
4144,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking
4145,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking
4146,Arthritis, stiff_neck swelling_joints movement_stiffness painful_walking
4147,Arthritis, muscle_weakness swelling_joints movement_stiffness painful_walking
4148,Arthritis, muscle_weakness stiff_neck movement_stiffness painful_walking
4149,Arthritis, muscle_weakness stiff_neck swelling_joints painful_walking
4150,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking
4151,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness
4152,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking
4153,Arthritis, muscle_weakness stiff_neck swelling_joints movement_stiffness painful_walking
4154,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea spinning_movements loss_of_balance unsteadiness
4155,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea spinning_movements loss_of_balance unsteadiness
4156,(vertigo) Paroymsal  Positional Vertigo, headache nausea spinning_movements loss_of_balance unsteadiness
4157,(vertigo) Paroymsal  Positional Vertigo, vomiting nausea spinning_movements loss_of_balance unsteadiness
4158,(vertigo) Paroymsal  Positional Vertigo, vomiting headache spinning_movements loss_of_balance unsteadiness
4159,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea loss_of_balance unsteadiness
4160,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea spinning_movements unsteadiness
4161,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea spinning_movements loss_of_balance
4162,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea spinning_movements loss_of_balance unsteadiness
4163,(vertigo) Paroymsal  Positional Vertigo, vomiting headache nausea loss_of_balance unsteadiness
4164,Acne, skin_rash pus_filled_pimples blackheads scurring
4165,Acne, skin_rash pus_filled_pimples blackheads scurring
4166,Acne, pus_filled_pimples blackheads scurring
4167,Acne, skin_rash blackheads scurring
4168,Acne, skin_rash pus_filled_pimples scurring
4169,Acne, skin_rash pus_filled_pimples blackheads
4170,Acne, skin_rash pus_filled_pimples blackheads scurring
4171,Acne, skin_rash pus_filled_pimples blackheads
4172,Acne, skin_rash pus_filled_pimples scurring
4173,Acne, skin_rash blackheads scurring
4174,Urinary tract infection, burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine
4175,Urinary tract infection, burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine
4176,Urinary tract infection, bladder_discomfort foul_smell_of urine continuous_feel_of_urine
4177,Urinary tract infection, burning_micturition foul_smell_of urine continuous_feel_of_urine
4178,Urinary tract infection, burning_micturition bladder_discomfort continuous_feel_of_urine
4179,Urinary tract infection, burning_micturition bladder_discomfort foul_smell_of urine
4180,Urinary tract infection, burning_micturition bladder_discomfort foul_smell_of urine continuous_feel_of_urine
4181,Urinary tract infection, burning_micturition bladder_discomfort continuous_feel_of_urine
4182,Urinary tract infection, bladder_discomfort foul_smell_of urine continuous_feel_of_urine
4183,Urinary tract infection, burning_micturition bladder_discomfort continuous_feel_of_urine
4184,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4185,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4186,Psoriasis, joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4187,Psoriasis, skin_rash skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4188,Psoriasis, skin_rash joint_pain silver_like_dusting small_dents_in_nails inflammatory_nails
4189,Psoriasis, skin_rash joint_pain skin_peeling small_dents_in_nails inflammatory_nails
4190,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting inflammatory_nails
4191,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails
4192,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4193,Psoriasis, skin_rash joint_pain skin_peeling silver_like_dusting small_dents_in_nails inflammatory_nails
4194,Impetigo, skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze
4195,Impetigo, skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze
4196,Impetigo, high_fever blister red_sore_around_nose yellow_crust_ooze
4197,Impetigo, skin_rash blister red_sore_around_nose yellow_crust_ooze
4198,Impetigo, skin_rash blister red_sore_around_nose yellow_crust_ooze
4199,Impetigo, skin_rash high_fever red_sore_around_nose yellow_crust_ooze
4200,Impetigo, skin_rash high_fever blister yellow_crust_ooze
4201,Impetigo, skin_rash high_fever blister red_sore_around_nose
4202,Impetigo, skin_rash high_fever blister red_sore_around_nose yellow_crust_ooze
4203,Impetigo, skin_rash blister red_sore_around_nose yellow_crust_ooze
4204,Fungal infection,itching skin_rash nodal_skin_eruptions dischromic _patches
4205,Fungal infection, skin_rash nodal_skin_eruptions dischromic _patches
4206,Fungal infection,itching nodal_skin_eruptions dischromic _patches
4207,Fungal infection,itching skin_rash dischromic _patches
4208,Fungal infection,itching skin_rash nodal_skin_eruptions
4209,Fungal infection, skin_rash nodal_skin_eruptions dischromic _patches
4210,Fungal infection,itching nodal_skin_eruptions dischromic _patches
4211,Fungal infection,itching skin_rash dischromic _patches
4212,Fungal infection,itching skin_rash nodal_skin_eruptions
4213,Fungal infection,itching skin_rash nodal_skin_eruptions dischromic _patches
4214,Allergy, continuous_sneezing shivering chills watering_from_eyes
4215,Allergy, shivering chills watering_from_eyes
4216,Allergy, continuous_sneezing chills watering_from_eyes
4217,Allergy, continuous_sneezing shivering watering_from_eyes
4218,Allergy, continuous_sneezing shivering chills
4219,Allergy, shivering chills watering_from_eyes
4220,Allergy, continuous_sneezing chills watering_from_eyes
4221,Allergy, continuous_sneezing shivering watering_from_eyes
4222,Allergy, continuous_sneezing shivering chills
4223,Allergy, continuous_sneezing shivering chills watering_from_eyes
4224,GERD, stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain
4225,GERD, stomach_pain ulcers_on_tongue vomiting cough chest_pain
4226,GERD, stomach_pain acidity vomiting cough chest_pain
4227,GERD, stomach_pain acidity ulcers_on_tongue cough chest_pain
4228,GERD, stomach_pain acidity ulcers_on_tongue vomiting chest_pain
4229,GERD, stomach_pain acidity ulcers_on_tongue vomiting cough
4230,GERD, acidity ulcers_on_tongue vomiting cough chest_pain
4231,GERD, stomach_pain ulcers_on_tongue vomiting cough chest_pain
4232,GERD, stomach_pain acidity vomiting cough chest_pain
4233,GERD, stomach_pain acidity ulcers_on_tongue cough chest_pain
4234,Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4235,Chronic cholestasis, vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
4236,Chronic cholestasis,itching yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes
